CDL_code,CDL_categories,Attributes,Demand,HF.mean,HN.mean,Density
216,Peppers,Solanums,none,0.322284457,0.201445805,0
217,Pomegranates,Orchard,modest,0.344578281,0.324941214,1.53
218,Nectarines,Orchard,great,0.344578281,0.324941214,1.53
219,Greens,Vegs,none,0.254939371,0.221472574,0
220,Plums,Orchard,great,0.344578281,0.324941214,1.53
221,Strawberries,Strawberries,modest,0.297459371,0.226023918,3.91
222,Squash,Cucurbits,essential,0.360610595,0.258825765,2.7
223,Apricots,Orchard,great,0.344578281,0.324941214,1.53
224,Vetch,Beans,none,0.268583785,0.176093103,0
225,Dbl Crop WinWht/Corn,Dbl Crop,none,0.267295416,0.296378706,0
226,Dbl Crop Oats/Corn,Dbl Crop,none,0.267295416,0.296378706,0
227,Lettuce,Vegs,none,0.254939371,0.221472574,0
229,Pumpkins,Pumpkins,essential,0.360610595,0.258825765,3.8
230,Dbl Crop Lettuce/Durum Wht,Dbl Crop,none,0.267295416,0.296378706,0
231,Dbl Crop Lettuce/Cantaloupe,Melons,modest,0.322335022,0.22753718,1.73
232,Dbl Crop Lettuce/Cotton,Dbl Crop,none,0.267295416,0.296378706,0
233,Dbl Crop Lettuce/Barley,Dbl Crop,none,0.267295416,0.296378706,0
234,Dbl Crop Durum Wht/Sorghum,Dbl Crop,none,0.267295416,0.296378706,0
235,Dbl Crop Barley/Sorghum,Dbl Crop,none,0.267295416,0.296378706,0
236,Dbl Crop WinWht/Sorghum,Dbl Crop,none,0.267295416,0.296378706,0
237,Dbl Crop Barley/Corn,Dbl Crop,none,0.267295416,0.296378706,0
238,Dbl Crop WinWht/Cotton,Dbl Crop,none,0.267295416,0.296378706,0
239,Dbl Crop Soybeans/Cotton,Dbl Crop,little,0.267295416,0.296378706,0
240,Dbl Crop Soybeans/Oats,Dbl Crop,little,0.267295416,0.296378706,0
241,Dbl Crop Corn/Soybeans,Dbl Crop,little,0.267295416,0.296378706,0
242,Blueberries,Blueberries,great,0.441217947,0.303912369,7.5
243,Cabbage,Vegs,none,0.254939371,0.221472574,0
244,Cauliflower,Vegs,none,0.254939371,0.221472574,0
245,Celery,Vegs,none,0.254939371,0.221472574,0
246,Radishes,Root Vegs,none,0.21390243,0.301005964,0
247,Turnips,Root Vegs,great,0.21390243,0.301005964,0
248,Eggplants,Solanums,modest,0.322284457,0.201445805,0
249,Gourds,Cucurbits,essential,0.360610595,0.258825765,2.7
250,Cranberries,Berries,great,0.441217947,0.303912369,2.25
254,Dbl Crop Barley/Soybeans,Dbl Crop,little,0.267295416,0.296378706,0
255,Raspberry,Raspberry,great,0.441,0.304,2
256,Almond with cover crop,Almond with cover crop,great,0.395,0.375,6
257,Apple with cover crop,Apple with cover crop,great,0.395,0.375,3.7
258,Blueberry with cover crop,Blueberry with cover crop,great,0.491,0.354,7.5
259,Cherry with cover crop,Cherry with cover crop,great,0.395,0.375,4.2
260,Raspberry with cover crop,Raspberry with cover crop,great,0.491,0.354,2
261,Watermelon with cover crop,Watermelon with cover crop,great,0.371,0.248,4.5
262,Pumpkin with cover crop,Pumpkin with cover crop,great,0.455,0.178,3.8
